State,Name,Subname,Stats Cat 55% 100%,Leader Skill,Passive Skill,Active Skill,Super Attack (12 Ki) Effect,Super Attack (18 Ki) Effect,Links,Categories,Transformation Condition,Release Date
Base,Jeice & Burter,Red and Blue Light Orbs,"HP 15,074 18,074 | ATK 9,403 12,403 | DEF 6,990 9,990","""Space-Traveling Warriors"" Category Ki +3 and HP, ATK & DEF +130%","Impenetrable Elite Force ATK & DEF +150% Medium chance of launching an additional Super Attack Plus an additional ATK & DEF +10% with each attack performed (up to 50%) High chance of evading enemy's attack (including Super Attack) ""Space-Traveling Warriors"" Category allies' Ki +3 and ATK & DEF +30% All allies' ATK & DEF +30% when there is an ally whose name includes ""Ginyu"" attacking in the same turn",,Raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Frieza's Army, Frieza's Minion, The Ginyu Force, Tag Team of Terror, Signature Pose, Loyalty, Fierce Battle","Planet Namek Saga, Joined Forces, Ginyu Force, Space-Traveling Warriors, Dragon Ball Seekers, Terrifying Conquerors, Special Pose",[],
Base,Borgos,Infinite Power,"HP 8,493 10,893 | ATK 10,896 13,296 | DEF 5,824 8,224","(Extreme) ""Low-Class Warrior"" Category Ki +3 and HP, ATK & DEF +77%; or AGL Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Silent Charge ATK & DEF +150% Plus an additional ATK & DEF +100% when facing only 1 enemy Launches an additional Super Attack when facing 2 or more enemies High chance of performing a critical hit when there is another ""Team Bardock"" Category ally attacking in the same turn",,Greatly raises ATK & DEF for 1 turn and causes supreme damage with a high chance of stunning the enemy,,"Team Bardock, Saiyan Warrior Race, Saiyan Pride, The Saiyan Lineage, Infighter, Prepared for Battle, Shattering the Limit","Pure Saiyans, Team Bardock, Low-Class Warrior, Space-Traveling Warriors, Storied Figures",[],
Base,Fasha,Cunning Moves,"HP 8,251 10,651 | ATK 10,572 12,972 | DEF 6,348 8,748","(Extreme) ""Low-Class Warrior"" Category Ki +3 and HP, ATK & DEF +77%; or INT Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Glorious Charge ATK & DEF +150% and high chance of evading enemy's attack (including Super Attack) Randomly changes Ki Spheres of a certain Type to Rainbow Ki Spheres when there is an ally whose name includes ""Bardock"" on the team All allies' Ki +3 and ""Team Bardock"" Category allies' ATK & DEF +30% within the same turn after evading an attack",,"Greatly raises DEF for 1 turn, causes supreme damage to enemy and lowers ATK & DEF",,"Team Bardock, Saiyan Warrior Race, Saiyan Pride, The Saiyan Lineage, Battlefield Diva, Prepared for Battle, Shattering the Limit","Pure Saiyans, Peppy Gals, Team Bardock, Low-Class Warrior, Space-Traveling Warriors, Storied Figures",[],
Base,Captain Ginyu (Ginyu Force),The Ultimate Fighting Squadron,"HP 19,910 23,310 | ATK 14,380 17,380 | DEF 12,570 15,170","(Extreme) All Types Ki +3 and HP, ATK & DEF +120%","(Extreme) Finish Sign Ki +2 and ATK & DEF +77% Plus an additional ATK & DEF +10% per ""Ginyu Force"" Category ally on the team (up to 50%) All allies' Ki +3 and ATK & DEF +30% Randomly changes Ki Spheres of a certain Type (PHY excluded) to Rainbow Ki Spheres when there is another ""Ginyu Force"" Category ally on the team",,Raises ATK & DEF for 1 turn and causes colossal damage to enemy,Raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy; raises allies' ATK & DEF by 30% for 1 turn,"The Ginyu Force, Fear and Faith, Respect, Loyalty, Signature Pose, Shocking Speed, Legendary Power","Planet Namek Saga, Joined Forces, Ginyu Force, Space-Traveling Warriors, Dragon Ball Seekers, Terrifying Conquerors, Special Pose",[],
Base,Cell (Perfect Form) & Cell Jr.,The Deadly Cell Games,"HP 19,963 23,363 | ATK 17,955 20,955 | DEF 10,700 13,300","(Extreme) Extreme PHY Type Ki +4 and HP, ATK & DEF +120%; Super PHY Type Ki +3 and HP, ATK & DEF +90%",(Extreme) Perfect Form Nightmare ATK & DEF +120% at start of turn Plus an additional DEF +60% when performing a Super Attack Plus an additional DEF +60% when performing an Ultra Super Attack and Ki +3 if facing only 1 enemy Plus an additional Ki +1 and ATK +30% per existing enemy,,Causes colossal damage to all enemies and recovers 12% HP,Greatly raises ATK for 1 turn and causes mega-colossal damage to enemy,"Gentleman, Messenger from the Future, Big Bad Bosses, Shocking Speed, Ultimate Lifeform, Fierce Battle, Legendary Power","Androids/Cell Saga, Androids, Artificial Life Forms, Transformation Boost, Joined Forces, Tournament Participants, Time Travelers, Worldwide Chaos",[],
Base,Super Saiyan Goku & Super Saiyan Gohan (Youth),Universe-Shaking Strike,"HP 21,025 23,625 | ATK 17,360 20,760 | DEF 10,913 13,913","""Goku's Family"" or ""Kamehameha"" Category Ki +4 and HP, ATK & DEF +150%","Immeasurable Destructive Power ATK +59% and DEF +58% Plus an additional ATK, DEF & chance of performing a critical hit +5% per Ki Sphere obtained Plus an additional ATK +59% and DEF +58% when performing a Super Attack, plus an additional ATK +59% and DEF +58% if it is an Ultra Super Attack Plus an additional Ki +1 per Ki Sphere obtained Launches an additional Super Attack within the turn in which the character's Active Skill is activated or when Ki is 20 or more","Active Skill Full Power Father-Son Kamehameha Condition: Can be activated when facing only 1 enemy, whose HP is 59% or less, starting from the 5th turn from the start of battle, or when HP is 58% or more starting from the 7th turn from the start of battle (once only) Massively raises ATK temporarily, causes ultimate damage to enemy and, within the turn activated, all attacks become critical hits Animation: Ultimate Special",Raises DEF for 1 turn and causes colossal damage to enemy,Raises ATK & DEF for 1 turn and causes mega-colossal damage to enemy,"Golden Warrior, All in the Family, Saiyan Warrior Race, Super Saiyan, Prepared for Battle, Fierce Battle, Legendary Power","Androids/Cell Saga, Goku's Family, Super Saiyans, Kamehameha, Joined Forces, Bond of Parent and Child, Bond of Master and Disciple, Tournament Participants, Earth-Bred Fighters",[],
Base,Trunks (Teen),Evil-Slashing Blade,"HP 15,560 17,360 | ATK 11,072 13,112 | DEF 7,769 9,329","(Extreme) STR Type Ki +3 and HP, ATK & DEF +77%","(Extreme) Preparations Made for the Future ATK & DEF +150% Plus an additional ATK & DEF +40% and all allies' Ki +1 per ""Saviors"" Category ally (self excluded) attacking in the same turn High chance of foreseeing enemy's Super Attack when there is an Extreme Class enemy and all allies' ATK & DEF +10% if all allies attacking in the same turn are ""Saviors"" Category characters All allies' Ki +1 and ATK & DEF +20%",,Raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Royal Lineage, Cold Judgment, Messenger from the Future, Z Fighters, Soul vs Soul, Super Strike, Shattering the Limit","Androids/Cell Saga, Future Saga, Hybrid Saiyans, Vegeta's Family, Bond of Master and Disciple, Earth-Bred Fighters, Time Travelers, Saviors, Entrusted Will, Battle of Wits",[],
Base,Goten (Kid),From Father to Son,"HP 9,181 10,981 | ATK 11,837 13,877 | DEF 6,722 8,282","(Extreme) ""Youth"" Category Ki +3 and HP, ATK & DEF +77%; or STR Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Final Promise ATK & DEF +150% Plus an additional ATK & DEF +50% when there is an ally whose name includes ""Goku (Angel)"" or ""Trunks (Kid)"" on the team Ki +5 and all allies' ATK, DEF & chance of performing a critical hit +10% when there is an ally whose name includes ""Goku (Angel)"" or ""Trunks (Kid)"" attacking in the same turn ""Goku's Family"" Category allies' Ki +1 and ATK & DEF +30%",,"Greatly raises DEF for 1 turn, causes supreme damage to enemy and lowers ATK",,"Saiyan Warrior Race, The Saiyan Lineage, All in the Family, The Innocents, Budding Warrior, Supreme Power, Shattering the Limit","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Youth, Fusion, Fused Fighters, Time Limit, Bond of Parent and Child, Siblings' Bond, Bond of Friendship, Earth-Bred Fighters, Gifted Warriors, Entrusted Will, Heavenly Events",[],
Base,Ultimate Gohan,Ultimate Power-Up,"HP 9,388 11,188 | ATK 11,545 13,345 | DEF 6,982 8,782","(Extreme) ""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +77%; or INT Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Father's Gi ATK & DEF +58% Plus an additional ATK & DEF +58% and great chance of launching an additional Super Attack when there is another ""Goku's Family"" Category ally attacking in the same turn Plus an additional ATK & DEF +20% with each Super Attack performed (up to 58%) ""Goku's Family"" Category allies' Ki +1 and ATK & DEF +20%",,"Raises ATK, causes supreme damage to enemy and lowers DEF",,"Saiyan Warrior Race, The Saiyan Lineage, All in the Family, Shocking Speed, Power Bestowed by God, Supreme Power, Shattering the Limit","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Powerful Comeback, Power of Wishes, Demonic Power, Rapid Growth, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Saviors, Revenge, Entrusted Will",[],
Base,Goku (Angel),Passing the Mantle,"HP 9,805 11,845 | ATK 11,713 13,513 | DEF 6,566 8,126","(Extreme) ""Otherworld Warriors"" Category Ki +3 and HP, ATK & DEF +77%; or PHY Type Ki +3 and HP, ATK & DEF +50%","(Extreme) A Father's Role DEF +159% ATK +159% and disables enemy's guard for 7 turns from the character's entry turn ATK +59% and high chance of evading enemy's attack (including Super Attack) starting from the 8th turn from the start of battle Plus an additional DEF +20% (up to 59%) with each attack evaded (including Super Attack) when there is an ally whose name includes ""Goten (Kid)"" on the team Ki +2 plus an additional ATK & DEF +59% when there is an ally whose name includes ""Goten (Kid)"" attacking in the same turn ""Goku's Family"" Category allies' Ki +1 and ATK & DEF +30%",,Raises ATK & DEF for 1 turn and causes supreme damage with a medium chance of stunning the enemy,,"Saiyan Warrior Race, The Saiyan Lineage, All in the Family, Kamehameha, Experienced Fighters, Supreme Power, Shattering the Limit","Majin Buu Saga, Pure Saiyans, Goku's Family, Kamehameha, Time Limit, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Otherworld Warriors, Resurrected Warriors, Accelerated Battle, Heavenly Events",[],
Base,Ultimate Gohan,Hidden Power Unleashed,"HP 15,108 18,108 | ATK 16,809 20,209 | DEF 8,377 10,977","(Extreme) ""Hybrid Saiyans"" Category Ki +3 and HP, ATK & DEF +170%","(Extreme) Signs of Brilliance ATK & DEF +158% Super Class allies' DEF +50%, plus an additional Ki +2 and ATK +30% for ""Entrusted Will"" Category Super Class allies High chance of guarding all attacks Guards all attacks and launches an additional attack that has a high chance of becoming a Super Attack for 4 turns when guard is activated",,"Greatly raises DEF for 1 turn, greatly raises ATK and causes immense damage to enemy",,"All in the Family, The Saiyan Lineage, Z Fighters, Infighter, Shocking Speed, Power Bestowed by God, Fierce Battle","Majin Buu Saga, Hybrid Saiyans, Goku's Family, Powerful Comeback, Power of Wishes, Demonic Power, Rapid Growth, Bond of Parent and Child, Siblings' Bond, Earth-Bred Fighters, Saviors, Revenge, Entrusted Will",[],
Base,Cell (1st Form),Ultimate Life Form with Immense Power,"HP 14,205 16,805 | ATK 13,910 16,910 | DEF 8,135 11,535","""Androids/Cell Saga"" or ""Power Absorption"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Androids"" Category",Cell Approaches ATK & DEF +170% Plus an additional ATK & DEF +30% when performing a Super Attack Plus an additional ATK & DEF +80% and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +18% when facing 2 or more enemies Plus an additional ATK & DEF +70% and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +17% when facing 3 or more enemies Medium chance of launching an additional Super Attack when HP is 50% or more Absorbs Android #17 when conditions are met,,"Raises ATK, raises DEF for 1 turn and causes immense damage to enemy",,"Flee, Messenger from the Future, Big Bad Bosses, Shocking Speed, Nightmare, The Wall Standing Tall, Fierce Battle","Androids/Cell Saga, Androids, Artificial Life Forms, Transformation Boost, Power Absorption, Sworn Enemies, Tournament Participants, Time Travelers, Target: Goku, Exploding Rage, Accelerated Battle, Worldwide Chaos",Absorbs Android #17 starting from the 3rd turn from the start of battle,
Transformation,Cell (2nd Form),Ultimate Life Form with Immense Power,"HP 14,205 16,805 | ATK 13,910 16,910 | DEF 8,135 11,535","""Androids/Cell Saga"" or ""Power Absorption"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Androids"" Category",Cell Getting Close to Perfection ATK & DEF +180% Plus an additional ATK & DEF +40% when performing a Super Attack Chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +17% Plus an additional ATK & DEF +120% and chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +18% when facing 2 or more enemies Medium chance of launching an additional Super Attack when HP is 50% or more Absorbs Android #18 when conditions are met,,"Raises ATK, raises DEF for 1 turn and causes immense damage to enemy",,"Brutal Beatdown, Messenger from the Future, Big Bad Bosses, Shocking Speed, Nightmare, The Wall Standing Tall, Fierce Battle","Androids/Cell Saga, Androids, Artificial Life Forms, Transformation Boost, Power Absorption, Sworn Enemies, Tournament Participants, Time Travelers, Target: Goku, Exploding Rage, Accelerated Battle, Worldwide Chaos",Absorbs Android #18 upon entering next attacking turn,
Transformation,Cell (Perfect Form),Ultimate Life Form with Immense Power,"HP 14,205 16,805 | ATK 13,910 16,910 | DEF 8,135 11,535","""Androids/Cell Saga"" or ""Power Absorption"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Androids"" Category",Cell Gets Serious ATK & DEF +250% Plus an additional ATK & DEF +50% when performing a Super Attack Chance of performing a critical hit & chance of evading enemy's attack (including Super Attack) +35% Plus an additional ATK & DEF +50% when facing only 1 enemy High chance of launching an additional Super Attack when HP is 50% or more,Active Skill Rage Condition: Can be activated when HP is 50% or less and facing only 1 enemy (once only) Rages Animation: Play,Raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Gentleman, Messenger from the Future, Big Bad Bosses, Shocking Speed, Attack of the Clones, Ultimate Lifeform, Fierce Battle","Androids/Cell Saga, Androids, Artificial Life Forms, Transformation Boost, Power Absorption, Sworn Enemies, Tournament Participants, Time Travelers, Target: Goku, Exploding Rage, Accelerated Battle, Worldwide Chaos",,
Base,Super Saiyan Vegeta,Single-Minded Offense,"HP 11,582 14,182 | ATK 11,046 14,046 | DEF 6,682 10,082","""Mastered Evolution"" Category Ki +3 and HP, ATK & DEF +130%",Boiling Rage ATK & DEF +100% Plus an additional ATK & DEF +100% when attacking Plus an additional Ki +3 and launches an additional attack with 3 or more Ki Spheres obtained Launches an additional attack for 4 turns from the character's entry turn Plus an additional ATK & DEF +100% starting from the turn in which the character performs the 5th attack in battle Attacks effective against all Types starting from the turn in which the character performs the 10th attack in battle,,Raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Super Saiyan, Royal Lineage, Prodigies, Saiyan Pride, Golden Warrior, Prepared for Battle, Fierce Battle","Androids/Cell Saga, Pure Saiyans, Vegeta's Family, Super Saiyans, Mastered Evolution, Worthy Rivals, Bond of Parent and Child, Tournament Participants, Gifted Warriors",[],
Base,Super Saiyan Goku/Super Saiyan Gohan (Youth),Warriors Entrusted with Earth's Fate,"HP 15,510 18,510 | ATK 14,084 17,484 | DEF 7,265 9,865","""Super Saiyans"" or ""Goku's Family"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Androids/Cell Saga"" Category",Goku Goes Full Throttle ATK & DEF +180% Plus an additional ATK & DEF +59% when performing a Super Attack High chance of evading enemy's attack (including Super Attack) within the same turn after performing a Super Attack for 5 turns from the character's entry turn and medium chance of evading enemy's attack (including Super Attack) within the same turn after performing a Super Attack starting from the 6th turn from the character's entry turn Plus an additional ATK & DEF +20% (up to 59%) with each attack evaded (including Super Attack),Active Skill Exchange Condition: Can be activated after performing 3 or more Super Attacks in battle (once only) Exchanges with another character Animation: Play,"Raises ATK, raises DEF for 1 turn and causes immense damage with a high chance of stunning the enemy",,"Golden Warrior, Saiyan Warrior Race, All in the Family, Super Saiyan, Kamehameha, Prepared for Battle, Fierce Battle","Androids/Cell Saga, Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha, Full Power, Bond of Parent and Child, Bond of Friendship, Bond of Master and Disciple, Turtle School, Tournament Participants, Earth-Bred Fighters, Entrusted Will, Accelerated Battle, Heavenly Events",Can be activated after performing 3 or more Super Attacks in battle (once only),
Transformation,Super Saiyan Gohan (Youth),Warriors Entrusted with Earth's Fate,"HP 15,510 18,510 | ATK 14,084 17,484 | DEF 7,265 9,865","""Super Saiyans"" or ""Goku's Family"" Category Ki +3 and HP, ATK & DEF +170%, plus an additional HP, ATK & DEF +30% for characters who also belong to the ""Androids/Cell Saga"" Category","Surpass Your Dad! ATK & DEF +180% Plus an additional ATK +58% within the same turn after receiving an attack Raises DEF by up to 100% (the more HP remaining, the greater the DEF boost) Guards all attacks for 3 turns from the character's entry turn Plus an additional DEF +58% starting from the turn in which guard is activated for the 2nd time in battle Plus an additional ATK & DEF +58% starting from the turn in which guard is activated for the 4th time in battle Guards all attacks starting from the turn in which guard is activated for the 6th time in battle Great chance of nullifying enemy's Ki Blast Super Attack and countering with ferocious power Animations: Counter",,Greatly raises ATK & DEF for 1 turn and causes immense damage to enemy,,"Golden Warrior, Saiyan Warrior Race, All in the Family, Super Saiyan, Kamehameha, Prepared for Battle, Fierce Battle","Androids/Cell Saga, Pure Saiyans, Goku's Family, Super Saiyans, Kamehameha, Full Power, Bond of Parent and Child, Bond of Friendship, Bond of Master and Disciple, Turtle School, Tournament Participants, Earth-Bred Fighters, Entrusted Will, Accelerated Battle, Heavenly Events",,
Base,Androids #16 & #18,Life-and-Death Battle,"HP 11,993 15,393 | ATK 10,964 13,964 | DEF 6,579 9,179","""Androids"" Category Ki +3 and HP, ATK & DEF +130%","Battle Between Good and Evil ATK +160% and DEF +180% Raises ATK & DEF by up to 100% (the more HP remaining, the greater the stat boost) Medium chance of attacks being effective against all Types when there is a Super Class ally attacking in the same turn Medium chance of guarding all attacks when there is another Extreme Class ally attacking in the same turn All allies' ATK +34% and DEF +16% when there is a Super Class enemy All allies' ATK +18% and DEF +34% when there is an Extreme Class enemy",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Android Assault, Solid Support, Shocking Speed, Cold Judgment, Tough as Nails, Soul vs Soul, Fierce Battle","Androids/Cell Saga, Androids, Uncontrollable Power, Joined Forces, Target: Goku",[],
Base,Mighty Mask,Super Power Behind the Mask,"HP 15,560 17,120 | ATK 11,927 13,967 | DEF 7,202 9,002","(Extreme) AGL & TEQ Type Ki +3 and HP, ATK & DEF +70%",(Extreme) Coordinated Attack ATK & DEF +100% Plus an additional ATK & DEF +50% when performing a Super Attack Plus an additional DEF +50% and medium chance of evading enemy's attack (including Super Attack) when facing only 1 enemy Plus an additional ATK +50% and launches an additional attack that has a medium chance of becoming a Super Attack when facing 2 or more enemies,,"Raises ATK & DEF for 1 turn, causes supreme damage to enemy and greatly lowers DEF",,"Blazing Battle, Bombardment, World Tournament Reborn, The Innocents, Shattering the Limit, Super Saiyan, Super Strike","Majin Buu Saga, World Tournament, Tournament Participants, Earth-Bred Fighters",[],
Base,Trunks (Kid) & Goten (Kid),Budding Warriors,"HP 16,988 19,588 | ATK 18,040 21,040 | DEF 12,081 15,481","(Extreme) Super AGL Type Ki +4 and HP, ATK & DEF +120%; Extreme AGL Type Ki +3 and HP, ATK & DEF +90%","(Extreme) Bearing Hope Ki +5 to 10 randomly at start of turn ATK & DEF +150% when performing a Super Attack, plus an additional ATK +50% if it is an Ultra Super Attack Medium chance of evading enemy's attack (including Super Attack)",,Causes colossal damage to enemy and raises DEF by 30% for 1 turn,Causes mega-colossal damage to enemy and raises DEF by 30% for 1 turn,"Z Fighters, The Innocents, Prodigies, Budding Warrior, Shocking Speed, Shattering the Limit, Legendary Power","Majin Buu Saga, Hybrid Saiyans, Youth, Power Beyond Super Saiyan, Fusion, Fused Fighters, Rapid Growth, Time Limit, Joined Forces, Bond of Parent and Child, Bond of Friendship, World Tournament, Tournament Participants, Earth-Bred Fighters, Gifted Warriors, Entrusted Will, Heavenly Events, Special Pose",[],
Base,Buu (Super),Destruction Descending,"HP 14,124 16,724 | ATK 13,308 16,708 | DEF 7,954 10,954","(Extreme) TEQ Type Ki +3 and HP, ATK & DEF +100%",(Extreme) Favorite Candy DEF +130% Medium chance of evading enemy's attack (including Super Attack) Medium chance of performing a critical hit Recovers 30% of damage dealt as HP,,Raises ATK for 1 turn and causes supreme damage with a medium chance of stunning the enemy,,"Majin, Brutal Beatdown, Metamorphosis, Infinite Regeneration, Fear and Faith, The Wall Standing Tall, Fierce Battle","Majin Buu Saga, Artificial Life Forms, Transformation Boost, Power Absorption, Majin Power, Uncontrollable Power, Demonic Power, Sworn Enemies, Heavenly Events, Worldwide Chaos",[],
Base,Vegeta,Trustworthy Rival,"HP 13,492 16,492 | ATK 13,661 16,661 | DEF 7,828 10,828","(Extreme) INT & PHY Types Ki +3 and HP, ATK & DEF +90%","(Extreme) Desperate Shout ATK & DEF +120% ATK +30% and DEF +20% per Ki Sphere obtained Chance of evading enemy's attack (including Super Attack) +10% at start of each turn (up to 30%) Changes TEQ Ki Spheres to INT Ki Spheres when there is an ally whose name includes ""Goku"" (Youth, Captain Ginyu, Jr., etc. excluded) attacking in the same turn Recovers HP with sweet treats",,Causes supreme damage to enemy and raises ATK & DEF for 3 turns,,"Saiyan Warrior Race, Royal Lineage, Saiyan Pride, Prepared for Battle, Golden Z-Fighter, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Vegeta's Family, Worthy Rivals, Bond of Parent and Child, Gifted Warriors, Connected Hope, All-Out Struggle, Battle of Fate",[],
Base,Goku,The Hope of the Universe,"HP 16,398 19,398 | ATK 12,448 15,848 | DEF 7,891 10,491","(Extreme) AGL & STR Types Ki +3 and HP, ATK & DEF +90%","(Extreme) Energy From All Earthlings ATK & DEF +120% ATK +30% and DEF +20% per Ki Sphere obtained Chance of performing a critical hit +10% at start of each turn (up to 30%) Changes PHY Ki Spheres to STR Ki Spheres when there is an ally whose name includes ""Vegeta"" (Kid, Jr., etc. excluded) attacking in the same turn Recovers HP with sweet treats",,Causes supreme damage to enemy and raises allies' ATK by 30% for 2 turns,,"Z Fighters, All in the Family, Saiyan Warrior Race, Prepared for Battle, Golden Z-Fighter, Supreme Power, Fierce Battle","Majin Buu Saga, Pure Saiyans, Goku's Family, Power of Wishes, Final Trump Card, Bond of Parent and Child, Bond of Friendship, Turtle School, Earth-Bred Fighters, Connected Hope, Accelerated Battle, Battle of Fate",[],
Base,Vegito,Fusion Fighter's Attack,"HP 14,449 17,449 | ATK 12,719 15,719 | DEF 8,791 11,791","(Extreme) All Types Ki +3 and HP, ATK & DEF +80%",(Extreme) Know No Bounds ATK & DEF +150% Plus an additional ATK +20% per Ki Sphere obtained Chance of performing a critical hit +5% with each attack performed (up to 30%) All allies' Ki +3 Launches an additional attack that has a high chance of becoming a Super Attack,,Causes supreme damage to enemy and raises allies' ATK & DEF by 30% for 1 turn,,"Saiyan Warrior Race, Brainiacs, Prepared for Battle, Power Bestowed by God, Fused Fighter, Fierce Battle","Majin Buu Saga, Potara, Fused Fighters, Final Trump Card, Battle of Wits",[],
Base,Vegito,True Value of the Potara,"HP 14,645 17,245 | ATK 12,589 15,989 | DEF 8,399 11,399","(Extreme) All Types Ki +3 and HP, ATK & DEF +80%",(Extreme) Potara of Hope ATK & DEF +150% Plus an additional DEF +15% per Ki Sphere obtained Chance of evading enemy's attack (including Super Attack) +5% with each attack received (up to 30%) All allies' ATK & DEF +30% Launches an additional attack that has a high chance of becoming a Super Attack,,Causes supreme damage to enemy and raises allies' ATK & DEF by 30% for 1 turn,,"Saiyan Warrior Race, The Saiyan Lineage, Prepared for Battle, Power Bestowed by God, Fused Fighter, Supreme Power, Fierce Battle","Majin Buu Saga, Potara, Fused Fighters, Final Trump Card, Battle of Wits",[],
Base,Great Saiyaman 2/1,In the Name of Justice,"HP 12,289 13,849 | ATK 11,689 13,729 | DEF 6,358 8,158","(Extreme) ""Special Pose"" Category Ki +3 and HP, ATK & DEF +77%; or TEQ Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Magnificent Leap ATK & DEF +150% and high chance of evading enemy's attack (including Super Attack) Plus an additional DEF +50% when performing a Super Attack Attacked enemy's ATK & DEF -20% for 2 turns ""Special Pose"" Category allies' Ki +3 and ATK & DEF +30%","Active Skill Exchange Condition: Can be activated when facing only 1 enemy, whose HP is 58% or more, starting from the 3rd turn from the start of battle (once only) Exchanges with another character Animation: Play",Causes supreme damage to enemy and lowers ATK & DEF,,"Infighter, Hero of Justice, Signature Pose, Battlefield Diva, Patrol, Courage, Shattering the Limit","Majin Buu Saga, Earthlings, Peppy Gals, Bond of Parent and Child, Movie Heroes, Earth-Bred Fighters, Defenders of Justice, Special Pose","Can be activated when facing only 1 enemy, whose HP is 58% or more, starting from the 3rd turn from the start of battle (once only)",
Transformation,Great Saiyaman 1,In the Name of Justice,"HP 12,289 13,849 | ATK 11,689 13,729 | DEF 6,358 8,158","(Extreme) ""Special Pose"" Category Ki +3 and HP, ATK & DEF +77%; or TEQ Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Pursuit of Coolness Ki +3 and ATK & DEF +158% Plus an additional ATK & DEF +58% when performing a Super Attack ATK +10% and chance of performing a critical hit +5% per ""Special Pose"" Category ally on the team",,Greatly raises ATK & DEF for 1 turn and causes supreme damage to enemy,,"Z Fighters, Hero of Justice, Signature Pose, Brainiacs, Patrol, Shocking Speed, Shattering the Limit","Majin Buu Saga, Earthlings, Peppy Gals, Bond of Parent and Child, Movie Heroes, Earth-Bred Fighters, Defenders of Justice, Special Pose",,
Base,Gohan (Teen) & Videl,Brave Pair,"HP 10,326 12,126 | ATK 11,421 13,221 | DEF 6,669 8,469","(Extreme) ""Majin Buu Saga"" Category Ki +3 and HP, ATK & DEF +77%; or INT Type Ki +3 and HP, ATK & DEF +50%","(Extreme) New Power, New Companions ATK & DEF +158% Plus an additional DEF +20% with each attack performed (up to 58%) Great chance of launching up to 2 additional attacks, each of which has a great chance of becoming a Super Attack",,Causes supreme damage to enemy and raises ATK for 9 turns,,"Hero of Justice, Infighter, Cold Judgment, Solid Support, Supreme Power, Shattering the Limit","Majin Buu Saga, Joined Forces, Bond of Parent and Child, Earth-Bred Fighters, Defenders of Justice",[],
Base,Supreme Kai,Watchers of the Cosmos,"HP 10,014 11,574 | ATK 11,880 13,920 | DEF 6,253 8,053","(Extreme) ""Realm of Gods"" Category Ki +3 and HP, ATK & DEF +77%; or TEQ Type Ki +3 and HP, ATK & DEF +50%","(Extreme) Best Course of Action Ki +1 and ATK & DEF +30% per ""Realm of Gods"" Category ally on the team Super Class allies' Ki +1 and ATK & DEF +20% Guards all attacks as the 1st attacker in a turn Recovers 15% HP at the end of the turn in which an attack was received",,Causes supreme damage to enemy and raises Super Class allies' ATK & DEF by 30% for 1 turn,,"Telekinesis, Solid Support, Cold Judgment, Master of Magic, Godly Power, Supreme Power, Shattering the Limit","Majin Buu Saga, Potara, Realm of Gods",[],
Base,Para Para Brothers,Captivating Dance,"HP 11,729 13,769 | ATK 6,059 7,859 | DEF 7,668 9,228","""Special Pose"" Category Ki +3 and HP, ATK & DEF +50%","Cheerful Dance Ki +1 and DEF +120% All allies' ATK & DEF +25% (self excluded) Plus an additional Ki +2 and all allies' (self excluded) ATK +25% when the character is the 1st or 2nd to obtain Ki Spheres in a turn Plus an additional DEF +120% and all allies' Ki +2 and DEF +25% when the character is the 3rd to obtain Ki Spheres in a turn High chance of sealing all enemies' Super Attacks at start of turn when there is a ""GT Heroes"" Category enemy",,"Greatly raises DEF for 3 turns, causes supreme damage to enemy and raises allies' ATK by 25% for 1 turn (self excluded)",,"More Than Meets the Eye, Solid Support, Flee, Coward, Telekinesis, GT, Shattering the Limit","Joined Forces, Dragon Ball Seekers, Special Pose",[],
